Dataset,Contamination,Model,AUC-ROC,AUC-PR,F1,Recall@k,R@k-T1,R@k-T2,R@k-T3
bpi17,5%,AE,0.8786 ± 0.0009,0.3585 ± 0.0010,0.4277 ± 0.0032,0.4552 ± 0.0019,0.7630 ± 0.0052,0.2113 ± 0.0093,0.3913 ± 0.0036
bpi17,5%,LSTMAE,0.8560 ± 0.0009,0.2611 ± 0.0012,0.3676 ± 0.0015,0.3454 ± 0.0030,0.5968 ± 0.0040,0.1614 ± 0.0040,0.2780 ± 0.0098
bpi17,5%,GCNAE,0.8297 ± 0.0014,0.5909 ± 0.0018,0.5635 ± 0.0025,0.6560 ± 0.0010,0.9498 ± 0.0036,0.0182 ± 0.0018,1.0000 ± 0.0000
bpi17,5%,TGCAE,0.8516 ± 0.0025,0.5991 ± 0.0116,0.5634 ± 0.0076,0.6719 ± 0.0027,0.9672 ± 0.0110,0.0485 ± 0.0056,1.0000 ± 0.0000
bpi17,10%,AE,0.8557 ± 0.0007,0.4354 ± 0.0019,0.5237 ± 0.0022,0.5208 ± 0.0015,0.8899 ± 0.0035,0.2526 ± 0.0031,0.4200 ± 0.0030
bpi17,10%,LSTMAE,0.8291 ± 0.0013,0.3434 ± 0.0013,0.4484 ± 0.0025,0.4385 ± 0.0008,0.8162 ± 0.0044,0.1875 ± 0.0041,0.3119 ± 0.0047
bpi17,10%,GCNAE,0.8238 ± 0.0009,0.6044 ± 0.0024,0.6090 ± 0.0055,0.6472 ± 0.0021,0.9706 ± 0.0023,0.0388 ± 0.0013,0.9323 ± 0.0043
bpi17,10%,TGCAE,0.8457 ± 0.0015,0.6323 ± 0.0089,0.6837 ± 0.0082,0.6874 ± 0.0035,0.9806 ± 0.0044,0.1011 ± 0.0073,0.9804 ± 0.0081
bpi17,15%,AE,0.8380 ± 0.0009,0.4869 ± 0.0019,0.5366 ± 0.0030,0.5588 ± 0.0018,0.9320 ± 0.0027,0.2870 ± 0.0022,0.4573 ± 0.0025
bpi17,15%,LSTMAE,0.8106 ± 0.0009,0.4040 ± 0.0015,0.4533 ± 0.0018,0.4869 ± 0.0015,0.8917 ± 0.0027,0.2195 ± 0.0021,0.3494 ± 0.0021
bpi17,15%,GCNAE,0.8107 ± 0.0005,0.6048 ± 0.0022,0.4914 ± 0.0035,0.5730 ± 0.0019,0.9775 ± 0.0009,0.0776 ± 0.0008,0.6639 ± 0.0062
bpi17,15%,TGCAE,0.8351 ± 0.0015,0.6406 ± 0.0051,0.5585 ± 0.0123,0.6421 ± 0.0028,0.9852 ± 0.0063,0.1520 ± 0.0015,0.7893 ± 0.0088
bpi17,20%,AE,0.8246 ± 0.0008,0.5312 ± 0.0021,0.5054 ± 0.0034,0.5863 ± 0.0017,0.9513 ± 0.0036,0.3146 ± 0.0017,0.4931 ± 0.0031
bpi17,20%,LSTMAE,0.7976 ± 0.0008,0.4554 ± 0.0014,0.4116 ± 0.0023,0.5247 ± 0.0019,0.9256 ± 0.0035,0.2555 ± 0.0021,0.3931 ± 0.0030
bpi17,20%,GCNAE,0.7936 ± 0.0009,0.6134 ± 0.0019,0.4553 ± 0.0015,0.5444 ± 0.0024,0.9802 ± 0.0013,0.1153 ± 0.0020,0.5378 ± 0.0076
bpi17,20%,TGCAE,0.8246 ± 0.0022,0.6627 ± 0.0068,0.5108 ± 0.0128,0.6256 ± 0.0054,0.9893 ± 0.0023,0.2111 ± 0.0103,0.6766 ± 0.0158
bpi17,30%,AE,0.8013 ± 0.0006,0.6004 ± 0.0013,0.3693 ± 0.0034,0.6277 ± 0.0012,0.9597 ± 0.0023,0.3737 ± 0.0024,0.5497 ± 0.0021
bpi17,30%,LSTMAE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
bpi17,30%,GCNAE,0.7654 ± 0.0007,0.6520 ± 0.0018,0.4094 ± 0.0020,0.5568 ± 0.0011,0.9841 ± 0.0018,0.1958 ± 0.0032,0.4906 ± 0.0032
bpi17,30%,TGCAE,0.7991 ± 0.0027,0.6924 ± 0.0068,0.4198 ± 0.0297,0.6290 ± 0.0056,0.9914 ± 0.0012,0.2625 ± 0.0054,0.6331 ± 0.0125
bpi17,40%,AE,0.7802 ± 0.0005,0.6574 ± 0.0008,0.2585 ± 0.0022,0.6641 ± 0.0004,0.9658 ± 0.0025,0.4327 ± 0.0020,0.5937 ± 0.0010
bpi17,40%,LSTMAE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
bpi17,40%,GCNAE,0.6936 ± 0.1082,0.6957 ± 0.0008,0.2681 ± 0.1499,0.6796 ± 0.1791,0.9900 ± 0.0056,0.4203 ± 0.3241,0.6285 ± 0.2077
bpi17,40%,TGCAE,0.7724 ± 0.0052,0.7279 ± 0.0079,0.3149 ± 0.0297,0.6480 ± 0.0072,0.9918 ± 0.0029,0.3256 ± 0.0064,0.6266 ± 0.0170
DS2,5%,AE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,5%,LSTMAE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,5%,GCNAE,0.8240 ± 0.0035,0.4728 ± 0.0039,0.3798 ± 0.0059,0.6552 ± 0.0042,0.9455 ± 0.0119,0.0201 ± 0.0024,1.0000 ± 0.0000
DS2,5%,TGCAE,0.8239 ± 0.0042,0.4794 ± 0.0046,0.3714 ± 0.0199,0.6494 ± 0.0052,0.9254 ± 0.0166,0.0228 ± 0.0064,1.0000 ± 0.0000
DS2,10%,AE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,10%,LSTMAE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,10%,GCNAE,0.8246 ± 0.0034,0.5699 ± 0.0035,0.5615 ± 0.0096,0.6668 ± 0.0014,0.9639 ± 0.0019,0.0364 ± 0.0045,1.0000 ± 0.0000
DS2,10%,TGCAE,0.8243 ± 0.0033,0.5704 ± 0.0065,0.5470 ± 0.0304,0.6582 ± 0.0068,0.9405 ± 0.0205,0.0340 ± 0.0032,1.0000 ± 0.0000
DS2,15%,AE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,15%,LSTMAE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,15%,GCNAE,0.6302 ± 0.1783,0.5974 ± 0.0310,0.2655 ± 0.3636,0.8706 ± 0.1771,0.9886 ± 0.0157,0.6233 ± 0.5158,1.0000 ± 0.0000
DS2,15%,TGCAE,0.8244 ± 0.0023,0.6358 ± 0.0054,0.6405 ± 0.0110,0.6750 ± 0.0058,0.9668 ± 0.0072,0.0581 ± 0.0116,1.0000 ± 0.0000
DS2,20%,AE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,20%,LSTMAE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,20%,GCNAE,0.6297 ± 0.1776,0.6317 ± 0.0440,0.2878 ± 0.3941,0.8740 ± 0.1726,0.9908 ± 0.0126,0.6311 ± 0.5052,1.0000 ± 0.0000
DS2,20%,TGCAE,0.8236 ± 0.0026,0.6827 ± 0.0042,0.7075 ± 0.0090,0.6836 ± 0.0039,0.9672 ± 0.0073,0.0835 ± 0.0071,1.0000 ± 0.0000
DS2,30%,AE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,30%,LSTMAE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,30%,GCNAE,0.5000 ± 0.0000,0.6486 ± 0.0000,OOM ± OOM,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
DS2,30%,TGCAE,0.8206 ± 0.0013,0.7479 ± 0.0028,0.6814 ± 0.0434,0.7020 ± 0.0024,0.9813 ± 0.0059,0.1248 ± 0.0028,1.0000 ± 0.0000
DS2,40%,AE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,40%,LSTMAE,OOM,OOM,OOM,OOM,OOM,OOM,OOM
DS2,40%,GCNAE,0.5000 ± 0.0000,0.6969 ± 0.0000,OOM ± OOM,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
DS2,40%,TGCAE,0.8197 ± 0.0031,0.7981 ± 0.0038,0.2997 ± 0.0366,0.7223 ± 0.0040,0.9819 ± 0.0189,0.1850 ± 0.0090,1.0000 ± 0.0000
