Dataset,Contamination,Model,AUC-ROC,AUC-PR,F1,Recall@k,R@k-T1,R@k-T2,R@k-T3
BPIC 2017,5%,GCNAE,0.8297 ± 0.0014,0.5909 ± 0.0018,0.5635 ± 0.0025,0.6560 ± 0.0010,0.9498 ± 0.0036,0.0182 ± 0.0018,1.0000 ± 0.0000
BPIC 2017,5%,TGCAE,0.8534 ± 0.0033,0.5992 ± 0.0076,0.5668 ± 0.0041,0.6738 ± 0.0012,0.9736 ± 0.0047,0.0478 ± 0.0028,1.0000 ± 0.0000
BPIC 2017,10%,GCNAE,0.8238 ± 0.0009,0.6044 ± 0.0024,0.6090 ± 0.0055,0.6472 ± 0.0021,0.9706 ± 0.0023,0.0388 ± 0.0013,0.9323 ± 0.0043
BPIC 2017,10%,TGCAE,0.8447 ± 0.0014,0.6220 ± 0.0050,0.6766 ± 0.0075,0.6826 ± 0.0043,0.9778 ± 0.0087,0.0983 ± 0.0048,0.9716 ± 0.0142
BPIC 2017,15%,GCNAE,0.8107 ± 0.0005,0.6048 ± 0.0022,0.4914 ± 0.0035,0.5730 ± 0.0019,0.9775 ± 0.0009,0.0776 ± 0.0008,0.6639 ± 0.0062
BPIC 2017,15%,TGCAE,0.8367 ± 0.0015,0.6435 ± 0.0084,0.5641 ± 0.0075,0.6446 ± 0.0063,0.9880 ± 0.0035,0.1538 ± 0.0076,0.7919 ± 0.0231
BPIC 2017,20%,GCNAE,0.7936 ± 0.0009,0.6134 ± 0.0019,0.4553 ± 0.0015,0.5444 ± 0.0024,0.9802 ± 0.0013,0.1153 ± 0.0020,0.5378 ± 0.0076
BPIC 2017,20%,TGCAE,0.8245 ± 0.0034,0.6571 ± 0.0164,0.4947 ± 0.0298,0.6242 ± 0.0108,0.9861 ± 0.0061,0.1973 ± 0.0110,0.6893 ± 0.0245
BPIC 2017,30%,GCNAE,0.7654 ± 0.0007,0.6520 ± 0.0018,0.4094 ± 0.0020,0.5568 ± 0.0011,0.9841 ± 0.0018,0.1958 ± 0.0032,0.4906 ± 0.0032
BPIC 2017,30%,TGCAE,0.7957 ± 0.0027,0.6904 ± 0.0043,0.4187 ± 0.0292,0.6241 ± 0.0067,0.9907 ± 0.0011,0.2624 ± 0.0094,0.6193 ± 0.0162
BPIC 2017,40%,GCNAE,0.6936 ± 0.1082,0.6957 ± 0.0008,0.2681 ± 0.1499,0.6796 ± 0.1791,0.9900 ± 0.0056,0.4203 ± 0.3241,0.6285 ± 0.2077
BPIC 2017,40%,TGCAE,0.7663 ± 0.0021,0.7188 ± 0.0073,0.3041 ± 0.0164,0.6385 ± 0.0032,0.9809 ± 0.0105,0.3238 ± 0.0072,0.6109 ± 0.0220
DS2,5%,GCNAE,0.8240 ± 0.0035,0.4728 ± 0.0039,0.3798 ± 0.0059,0.6552 ± 0.0042,0.9455 ± 0.0119,0.0201 ± 0.0024,1.0000 ± 0.0000
DS2,5%,TGCAE,0.8233 ± 0.0049,0.4778 ± 0.0055,0.3543 ± 0.0052,0.6487 ± 0.0042,0.9238 ± 0.0147,0.0222 ± 0.0048,1.0000 ± 0.0000
DS2,10%,GCNAE,0.8265 ± 0.0041,0.5698 ± 0.0031,0.5597 ± 0.0063,0.6663 ± 0.0017,0.9636 ± 0.0018,0.0353 ± 0.0051,1.0000 ± 0.0000
DS2,10%,TGCAE,0.8251 ± 0.0033,0.5717 ± 0.0037,0.5337 ± 0.0082,0.6642 ± 0.0017,0.9582 ± 0.0014,0.0343 ± 0.0039,1.0000 ± 0.0000
DS2,15%,GCNAE,0.6301 ± 0.1781,0.5975 ± 0.0312,0.2670 ± 0.3657,0.8709 ± 0.1768,0.9889 ± 0.0152,0.6237 ± 0.5153,1.0000 ± 0.0000
DS2,15%,TGCAE,0.8240 ± 0.0022,0.6341 ± 0.0058,0.6417 ± 0.0062,0.6742 ± 0.0046,0.9644 ± 0.0061,0.0581 ± 0.0119,1.0000 ± 0.0000
DS2,20%,GCNAE,0.6297 ± 0.1776,0.6317 ± 0.0440,0.2878 ± 0.3941,0.8740 ± 0.1726,0.9908 ± 0.0126,0.6311 ± 0.5052,1.0000 ± 0.0000
DS2,20%,TGCAE,0.8231 ± 0.0025,0.6803 ± 0.0057,0.7088 ± 0.0148,0.6831 ± 0.0037,0.9667 ± 0.0073,0.0828 ± 0.0066,1.0000 ± 0.0000
DS2,30%,GCNAE,0.5000 ± 0.0000,0.6486 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
DS2,30%,TGCAE,0.8210 ± 0.0020,0.7490 ± 0.0019,0.7012 ± 0.0273,0.7033 ± 0.0012,0.9855 ± 0.0030,0.1244 ± 0.0032,1.0000 ± 0.0000
DS2,40%,GCNAE,0.5000 ± 0.0000,0.6969 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
DS2,40%,TGCAE,0.8203 ± 0.0024,0.7997 ± 0.0029,0.3055 ± 0.0169,0.7247 ± 0.0019,0.9888 ± 0.0055,0.1852 ± 0.0076,1.0000 ± 0.0000
