Metric,Model,Mean,Std,Median,Min,Max
AUC-ROC,AE,0.8297134671069843,0.03271541408782839,0.8311940001521788,0.7795572209971272,0.879787943448946
AUC-ROC,LSTMAE,0.8233115915035715,0.02194034709236403,0.8197550666304392,0.7964349636785881,0.8574466740099054
AUC-ROC,GCNAE,0.7189291078378791,0.1397663714651776,0.7944046688390873,0.5,0.8319810526758483
AUC-ROC,TGCAE,0.8215082515465355,0.0216155784710259,0.8232351473652822,0.7634783265945347,0.8590465976294469
AUC-PR,AE,0.5116362948351644,0.09948001446990308,0.5088789544531697,0.3573234670613855,0.6583705156573338
AUC-PR,LSTMAE,0.3659697033859325,0.0723504259487879,0.3734158692945915,0.2599066267326387,0.4570043584095503
AUC-PR,GCNAE,0.6148726291054281,0.058973614689229806,0.6068200850789378,0.4683736457054135,0.6969101879336124
AUC-PR,TGCAE,0.6536221159646708,0.08129479877217642,0.6482871892792266,0.4705708662832987,0.8024949457282446
F1,AE,0.4368551477766498,0.09888346665114245,0.46745940319504664,0.2555141398217642,0.5402589618608586
F1,LSTMAE,0.42023507029359325,0.03442116522732945,0.42934205759629523,0.3652515698148177,0.4549817348327484
F1,GCNAE,0.35758772556907065,0.24207506076337337,0.4115006109974251,0.0,0.7230925278936098
F1,TGCAE,0.5225103505719064,0.14315016431427743,0.5464667694716089,0.2848053578903307,0.7285436003208433
Recall@k,AE,0.5688083387650795,0.06852161644470951,0.5728694871189153,0.4526021376485865,0.6644267867242316
Recall@k,LSTMAE,0.4488803918474245,0.06712906011746157,0.4624222806548274,0.3419738287883328,0.5274644200104717
Recall@k,GCNAE,0.7269504138139621,0.17663255865329694,0.6565527919288783,0.5419344090627826,1.0
Recall@k,TGCAE,0.6654928936247418,0.029963603524243997,0.6675184554230551,0.6091793993050597,0.7273355036006708
