Dataset,Contamination,Model,AUC-ROC,AUC-PR,F1,Recall@k,R@k-T1,R@k-T2,R@k-T3
BPIC 2017,5%,TGCAE-Full,0.8538 ± 0.0033,0.5947 ± 0.0146,0.5634 ± 0.0041,0.6725 ± 0.0038,0.9727 ± 0.0071,0.0449 ± 0.0066,1.0000 ± 0.0000
BPIC 2017,5%,TGCAE-NoTime,0.8309 ± 0.0015,0.5710 ± 0.0093,0.5694 ± 0.0103,0.6614 ± 0.0020,0.9663 ± 0.0071,0.0180 ± 0.0015,1.0000 ± 0.0000
BPIC 2017,5%,TGCAE-NoGate,0.8535 ± 0.0021,0.6045 ± 0.0073,0.5622 ± 0.0078,0.6742 ± 0.0010,0.9752 ± 0.0052,0.0474 ± 0.0060,1.0000 ± 0.0000
BPIC 2017,5%,TGCAE-FixedW,0.8279 ± 0.0016,0.5018 ± 0.0012,0.5068 ± 0.0012,0.6525 ± 0.0004,0.9424 ± 0.0035,0.0188 ± 0.0009,0.9965 ± 0.0036
BPIC 2017,10%,TGCAE-Full,0.8467 ± 0.0019,0.6349 ± 0.0078,0.6865 ± 0.0047,0.6871 ± 0.0029,0.9813 ± 0.0060,0.0973 ± 0.0121,0.9827 ± 0.0079
BPIC 2017,10%,TGCAE-NoTime,0.8237 ± 0.0019,0.5837 ± 0.0173,0.6187 ± 0.0217,0.6512 ± 0.0092,0.9577 ± 0.0262,0.0396 ± 0.0027,0.9562 ± 0.0140
BPIC 2017,10%,TGCAE-NoGate,0.8480 ± 0.0007,0.6316 ± 0.0072,0.6814 ± 0.0145,0.6853 ± 0.0078,0.9754 ± 0.0105,0.1072 ± 0.0136,0.9735 ± 0.0254
BPIC 2017,10%,TGCAE-FixedW,0.8241 ± 0.0130,0.5526 ± 0.0369,0.5927 ± 0.0435,0.6020 ± 0.0429,0.9746 ± 0.0042,0.0559 ± 0.0201,0.7755 ± 0.1044
BPIC 2017,15%,TGCAE-Full,0.8377 ± 0.0026,0.6433 ± 0.0079,0.5618 ± 0.0132,0.6429 ± 0.0041,0.9867 ± 0.0061,0.1475 ± 0.0106,0.7945 ± 0.0162
BPIC 2017,15%,TGCAE-NoTime,0.8122 ± 0.0036,0.5905 ± 0.0204,0.4776 ± 0.0356,0.5880 ± 0.0211,0.9713 ± 0.0208,0.0751 ± 0.0051,0.7175 ± 0.0522
